name,brand,price,deal_price,final_price,description,image_thumbnail,sku,seller,stock,product_rating,fetched_at
JCO4 LAPTOP BATTERY,HP,24725,,,[object Object],/T/I/118566_1604505433.jpg,5000867,{'name': 'Konga'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Basilisk Gaming Mouse Classic Black,Razer,244000,,,[object Object],/R/U/57289_1727279653.jpg,6566278,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 20}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Ht03xl In-built Battery,HP,35075,,,[object Object],/S/H/118566_1618241664.jpg,5228829,{'name': 'Konga'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
HP Big-Mouth Laptop Charger - 18.5V 3.5A,,10000,,,[object Object],/H/P/HP-Big-Mouth-Laptop-Charger---18-5V-3-5A-4367350.jpg,2353031,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 9}","{'quality': {'average': 4.5, 'number_of_ratings': 2}}",2025-11-11 19:49:08
Baseus Ultrajoy 5w1 5-port Hub docking station - Grey,,49000,,,[object Object],/F/Z/57289_1760001914.jpg,6861874,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Baseus Ultrajoy Series 7-port Usb C Docking Station – 4k@60hz Hdmi- 100w Pd- 1080p Vga ,,80000,,,[object Object],/W/K/57289_1759746143.jpg,6860173,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Baseus Hub 8 In 1 Usb C Hub Docking Station Adapter With 4k Hdmi For Ipad Pro,,90000,,,[object Object],/F/A/57289_1759747297.jpg,6860155,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 2}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Microsoft Arc Mouse - Platinum,,220000,,,[object Object],/P/X/57289_1757502114.jpg,6839757,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Maxell Laptop Mic - Black,,13000,,,[object Object],/K/Q/57289_1757437240.jpg,6838960,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 1}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
Apple 2024 Magic Mouse - Multi-touch Surface - Usb-c - Black,,260000,,,[object Object],/Y/B/57289_1756806101.jpg,6832811,{'name': 'YOMILINCON BRAND'},"{'in_stock': True, 'quantity': 5}","{'quality': {'average': 0, 'number_of_ratings': 0}}",2025-11-11 19:49:08
